date;artist;track;spotify_data;album_name;album_release_date;track_popularity;artist_id
2022-06-28;Bitamina;NIECH NO TYLKO ZAKWITNĄ JABŁONIE;Niech no tylko zakwitną jabłonie|2021-07-09|50|2EJzUdaDAwfqcjpQcRAYdQ;Niech no tylko zakwitną jabłonie;2021-07-09;50.0;2EJzUdaDAwfqcjpQcRAYdQ
2022-06-28;Muchy;SZARORÓŻOWE;Szaroróżowe (Radio edit)|2021-05-07|47|09Z3SI4GkhYjpCB6884vC8;Szaroróżowe (Radio edit);2021-05-07;47.0;09Z3SI4GkhYjpCB6884vC8
2022-06-28;Daria Zawiałow;ŻÓŁTA TAKSÓWKA;Wojny i Noce|2021-06-11|47|0tdKRrbItnLj40yUFi23jx;Wojny i Noce;2021-06-11;47.0;0tdKRrbItnLj40yUFi23jx
2022-06-28;Jan Borysewicz;NIE WIERZ NIGDY KOBIECIE;Nie wierz nigdy kobiecie|2021-09-10|38|3aOdQc0HYtG1ZJoU5eyv8P;Nie wierz nigdy kobiecie;2021-09-10;38.0;3aOdQc0HYtG1ZJoU5eyv8P
2022-06-28;Adele;EASY ON ME;Easy On Me|2021-10-14|87|4dpARuHxo51G3z768sgnrY;Easy On Me;2021-10-14;87.0;4dpARuHxo51G3z768sgnrY
2022-06-28;ABBA;DON'T SHUT ME DOWN;|||;;;;
2022-06-28;Patrick The Pan;NIE CHCĘ PSA;Miło wszystko|2021-06-25|41|7vYfq6OMlGDw1IpTxar2h2;Miło wszystko;2021-06-25;41.0;7vYfq6OMlGDw1IpTxar2h2
2022-06-28;Ralph Kaminski;PO PROSTU BĄDŹ;Kora|2021-10-15|56|7l1IUcuGTEXMuD1aN3wFqw;Kora;2021-10-15;56.0;7l1IUcuGTEXMuD1aN3wFqw
2022-06-28;Sting;IF IT'S LOVE;The Bridge (Super Deluxe)|2022-06-17|37|0Ty63ceoRnnJKVEYP0VQpk;The Bridge (Super Deluxe);2022-06-17;37.0;0Ty63ceoRnnJKVEYP0VQpk
2022-06-28;Artur Rojek;WSZYSTKO MI MÓWI, ŻE MNIE KTOŚ POKOCHAŁ;Wszystko mi mówi, że mnie ktoś pokochał|2021-09-03|44|2wmdMX0w131ZumU30P5WZH;Wszystko mi mówi, że mnie ktoś pokochał;2021-09-03;44.0;2wmdMX0w131ZumU30P5WZH
2022-06-28;Placebo;BEAUTIFUL JAMES;Never Let Me Go|2022-03-25|37|6RZUqkomCmb8zCRqc9eznB;Never Let Me Go;2022-03-25;37.0;6RZUqkomCmb8zCRqc9eznB
2022-06-28;Billy Idol;BITTER TASTE;Bitter Taste|2021-08-11|56|7lzordPuZEXxwt9aoVZYmG;Bitter Taste;2021-08-11;56.0;7lzordPuZEXxwt9aoVZYmG
2022-06-28;Ralph Kaminski;PIĘĆ MINUT ŁEZ;"Pięć Minut Łez (From ""Moje wspaniałe życie"")|2021-08-19|49|7l1IUcuGTEXMuD1aN3wFqw";"Pięć Minut Łez (From ""Moje wspaniałe życie"")";2021-08-19;49.0;7l1IUcuGTEXMuD1aN3wFqw
2022-06-28;Król;ZBYT DOBRZE CI IDZIE;Dziękuję|2021-04-09|30|0gH4VBwt5MwWomiOXloDC4;Dziękuję;2021-04-09;30.0;0gH4VBwt5MwWomiOXloDC4
2022-06-28;Męskie Granie Orkiestra 2021;I CIEBIE TEŻ, BARDZO;I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)|2021-06-30|68|5xoXMR6Y8PORwObvyND9ZE;I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino);2021-06-30;68.0;5xoXMR6Y8PORwObvyND9ZE
2022-06-28;Kaśka Sochacka;NIEBO BYŁO RÓŻOWE;Ministory|2021-11-26|56|3ClL18AtCAPwXVT6mUkBDN;Ministory;2021-11-26;56.0;3ClL18AtCAPwXVT6mUkBDN
